policy,mean_program_ct,p50_program_ct,p90_program_ct,p95_program_ct,makespan,programs_per_hour,steps_per_min,completed_programs,completed_requests,mean_request_ct,mean_queue_s,p95_queue_s,cache_hit_prefix_ratio,warm_admits,cold_admits,prefill_tokens,cold_recompute_tokens,decode_tokens,cache_evictions,evicted_prefix_tokens,emergency_evictions,reserve_expansions,decode_stall_s,memory_violations,physical_kv_util,reserved_kv_util,idle_cache_fraction,mean_active,mean_decode_batch,mean_prefill_batch,gpu_busy_fraction,decision_calls,mean_decision_ms,p95_decision_ms,decode_reserve,scenario,seed,tool_mix,capacity_tokens,reserve_quantile,n_programs,control_interval,runtime_s,total_requests,mean_rounds,mean_tool_s_per_program,bdp_lambda_last,bdp_updates,knapsack_calls,mean_knapsack_ms,last_batch_target,mean_program_ct_bdp,p90_program_ct_bdp,makespan_bdp,steps_per_min_bdp,cold_recompute_tokens_bdp,cache_hit_prefix_ratio_bdp,mean_decision_ms_bdp,mean_program_ct_impr_vs_bdp_pct,p90_program_ct_impr_vs_bdp_pct,makespan_impr_vs_bdp_pct,steps_per_min_impr_vs_bdp_pct,cold_recompute_tokens_impr_vs_bdp_pct,cache_hit_delta_vs_bdp_pp
thunder,162.34941712703227,151.67949008572947,306.43173878509384,334.32734208572924,472.2767460182736,182.943582821791,27.69562573274336,24.0,218.0,118.95889983928875,3.8382836877867264,14.775677910716047,0.908630573048452,174.0,44.0,55916.0,29105.0,30140.99999999998,20.0,29105.0,0.0,31.0,0,0.0,0.5827314526200872,0.621293683938013,0.3934963473084579,2.367971852670808,2.149374913401121,0.2185969392696876,0.7693369580982551,112.0,0.14321195534096529,0.3441961999897102,386.0,smoke,20260710,swe_mixed,20000,0.95,24,5.0,0.09721651700010625,218.0,9.083333333333334,80.88758857787656,,,,,,145.36552160268678,273.52506647397865,453.31559745162264,28.854070041999567,12252.0,0.9615372541140572,0.1395860776739531,-11.683578978766292,-12.030587446816583,-4.182769945098681,-4.014838487499317,-137.5530525628469,-5.290668106560526
student_bdp,145.36552160268678,125.26366993167787,273.52506647397865,308.8408511122577,453.31559745162264,190.5956920205476,28.854070041999567,24.0,218.0,110.03456500980933,1.9872021593752822,4.693296232480075,0.9615372541140572,182.0,36.0,39063.0,12252.0,30141.000000000116,12.0,12252.0,0.0,33.0,0,0.0,0.5583332474978604,0.5967908420887565,0.361260847947603,2.4580233464623875,2.236785935332161,0.2212374111302271,0.7609768335633841,103.0,0.1395860776739531,0.4138150000699167,386.0,smoke,20260710,swe_mixed,20000,0.95,24,5.0,0.09148882499994215,218.0,9.083333333333334,80.88758857787656,0.0,68.0,,,,145.36552160268678,273.52506647397865,453.31559745162264,28.854070041999567,12252.0,0.9615372541140572,0.1395860776739531,0.0,0.0,0.0,0.0,0.0,0.0
hazard_knapsack,145.64382440549863,124.44804585547332,272.07348379005737,307.3685016606684,449.2957789033381,192.30093861751632,29.112225429596222,24.0,218.0,110.14089420692606,2.0408868309810524,4.708658119020915,0.9470964582378462,182.0,36.0,43663.00000000001,16852.0,30141.00000000006,12.0,16852.0,0.0,32.0,0,0.0,0.5447350042954617,0.5836178074130196,0.3476380165364654,2.4688331891666926,2.248016736382822,0.2208164527838711,0.772858675033919,102.0,0.2055382451098743,0.5422644501436475,386.0,smoke,20260710,swe_mixed,20000,0.95,24,5.0,0.1012526849999631,218.0,9.083333333333334,80.88758857787656,,,102.0,0.0701863921690079,,145.36552160268678,273.52506647397865,453.31559745162264,28.854070041999567,12252.0,0.9615372541140572,0.1395860776739531,-0.19145035201160587,0.5306945731276814,0.8867593726936648,0.8946931480407816,-37.54489063010121,-1.4440795876211054
hazard_grade_knapsack,145.9185080321454,125.06033933488771,275.1218052467904,307.92878482494234,454.45353116430726,190.11844792721428,28.78182058898105,24.0,218.0,110.20418779148267,2.0593327705263085,4.670982691455737,0.9513345178971689,185.0,33.0,42313.0,15502.0,30141.000000000102,9.0,15502.0,0.0,32.0,0,0.0,0.5436304036235226,0.5824204606143891,0.34759710888023543,2.4464713038520673,2.226822928132769,0.2196483757192965,0.7483357912146538,101.0,0.2365879009846707,0.6177060001846257,386.0,smoke,20260710,swe_mixed,20000,0.95,24,5.0,0.10945682499982468,218.0,9.083333333333334,80.88758857787656,,,101.0,0.07038384159845873,,145.36552160268678,273.52506647397865,453.31559745162264,28.854070041999567,12252.0,0.9615372541140572,0.1395860776739531,-0.3804109966117349,-0.5837632336207346,-0.2510246104660158,-0.2503960547449724,-26.52628142344107,-1.0202736216888275
hazard_batch_knapsack,145.64382440549863,124.44804585547332,272.07348379005737,307.3685016606684,449.2957789033381,192.30093861751632,29.112225429596222,24.0,218.0,110.14089420692606,2.0408868309810524,4.708658119020915,0.9470964582378462,182.0,36.0,43663.00000000001,16852.0,30141.00000000006,12.0,16852.0,0.0,32.0,0,0.0,0.5447350042954617,0.5836178074130196,0.3476380165364654,2.4688331891666926,2.248016736382822,0.2208164527838711,0.772858675033919,102.0,0.2617619902125893,0.6121277499460119,386.0,smoke,20260710,swe_mixed,20000,0.95,24,5.0,0.10555169000008391,218.0,9.083333333333334,80.88758857787656,,,102.0,0.06656575490693535,30.0,145.36552160268678,273.52506647397865,453.31559745162264,28.854070041999567,12252.0,0.9615372541140572,0.1395860776739531,-0.19145035201160587,0.5306945731276814,0.8867593726936648,0.8946931480407816,-37.54489063010121,-1.4440795876211054
