policy,mean_program_ct,p90_program_ct,makespan,steps_per_min,mean_ct_impr_vs_thunder,p90_impr_vs_thunder,makespan_impr_vs_thunder,steps_impr_vs_thunder,cache_hit,cold_recompute,evictions,mean_active,mean_decode_batch,physical_kv_util,reserved_kv_util,mean_decision_ms,p95_decision_ms,memory_violations,mean_ct_ci_low,mean_ct_ci_high
student_bdp,145.36552160268678,273.52506647397865,453.31559745162264,28.854070041999567,10.461322143864694,10.738663182077637,4.014838487499305,4.182769945098697,0.9615372541140572,12252.0,12.0,2.4580233464623875,2.236785935332161,0.5583332474978604,0.5967908420887565,0.1395860776739531,0.4138150000699167,0.0,10.461322143864694,10.461322143864694
hazard_batch_knapsack,145.64382440549863,272.07348379005737,449.2957789033381,29.112225429596222,10.289900029922585,11.212368252471572,4.865995903606557,5.114886049236578,0.9470964582378462,16852.0,12.0,2.4688331891666926,2.248016736382822,0.5447350042954617,0.5836178074130196,0.2617619902125893,0.6121277499460119,0.0,10.289900029922585,10.289900029922585
hazard_knapsack,145.64382440549863,272.07348379005737,449.2957789033381,29.112225429596222,10.289900029922585,11.212368252471572,4.865995903606557,5.114886049236578,0.9470964582378462,16852.0,12.0,2.4688331891666926,2.248016736382822,0.5447350042954617,0.5836178074130196,0.2055382451098743,0.5422644501436475,0.0,10.289900029922585,10.289900029922585
hazard_grade_knapsack,145.9185080321454,275.1218052467904,454.45353116430726,28.78182058898105,10.120707167079196,10.217588315896236,3.773892109707374,3.921900399432121,0.9513345178971689,15502.0,9.0,2.4464713038520673,2.226822928132769,0.5436304036235226,0.5824204606143891,0.2365879009846707,0.6177060001846257,0.0,10.120707167079196,10.120707167079196
thunder,162.34941712703227,306.43173878509384,472.2767460182736,27.69562573274336,0.0,0.0,0.0,0.0,0.908630573048452,29105.0,20.0,2.367971852670808,2.149374913401121,0.5827314526200872,0.621293683938013,0.14321195534096529,0.3441961999897102,0.0,0.0,0.0
