policy,mean_ct_impr_vs_bdp,p90_impr_vs_bdp,makespan_impr_vs_bdp,steps_impr_vs_bdp,recompute_impr_vs_bdp,cache_hit_delta_vs_bdp_pp,mean_ct_vs_bdp_ci_low,mean_ct_vs_bdp_ci_high
student_bdp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hazard_batch_knapsack,-0.19145035201160587,0.5306945731276814,0.8867593726936648,0.8946931480407816,-37.54489063010121,-1.4440795876211054,-0.19145035201160587,-0.19145035201160587
hazard_knapsack,-0.19145035201160587,0.5306945731276814,0.8867593726936648,0.8946931480407816,-37.54489063010121,-1.4440795876211054,-0.19145035201160587,-0.19145035201160587
hazard_grade_knapsack,-0.3804109966117349,-0.5837632336207346,-0.2510246104660158,-0.2503960547449724,-26.52628142344107,-1.0202736216888275,-0.3804109966117349,-0.3804109966117349
thunder,-11.683578978766292,-12.030587446816583,-4.182769945098681,-4.014838487499317,-137.5530525628469,-5.290668106560526,-11.683578978766292,-11.683578978766292
