run,tag,policy,model,programs_in_tape,calls_total,t_warm_s,t_drain_s,wall_s_sampler,full_window_s,full_gen_tps,full_prompt_tps,full_calls_per_s,full_lat_p50,full_lat_p90,full_lat_p95,full_lat_p99,full_wait_p90,full_wait_p95,warm_window_s,warm_gen_tps,warm_prompt_tps,warm_calls_per_s,warm_lat_p50,warm_lat_p90,warm_lat_p95,warm_lat_p99,warm_wait_p90,warm_wait_p95,steady_window_s,steady_gen_tps,steady_prompt_tps,steady_calls_per_s,steady_lat_p50,steady_lat_p90,steady_lat_p95,steady_lat_p99,steady_wait_p90,steady_wait_p95
26_AB_coder_size_vs_hazard,A,size,qwen3-coder-30b,80,1167,32.9,488.1,1260.5,938.6,491.7,20485.7,1.243,8.8,52.5,97.2,398.8,4.7,6.8,905.6,481.2,19149.3,0.976,8.6,53.3,96.6,332.1,3.0,10.7,455.2,652.9,32610.5,1.722,8.6,50.3,91.8,336.7,3.2,15.1
26_AB_coder_size_vs_hazard,B,hazard_grade,qwen3-coder-30b,80,1221,34.0,528.4,1024.3,1017.9,432.2,19549.2,1.2,8.4,52.9,124.6,454.7,4.6,7.0,983.9,420.5,18347.9,0.954,8.4,55.1,127.2,326.9,3.1,9.5,494.4,545.1,27401.0,1.557,8.8,61.0,128.8,345.0,3.6,23.8
