scenario,seed,total_requests,mean_rounds,mean_initial_prompt,mean_prompt_per_turn,mean_decode_per_turn,mean_total_prompt_per_program,mean_submitted_prompt_per_program,mean_total_decode_per_program,cv_total_decode_per_program,mean_tool_s_per_program,max_final_context,policy,mean_program_ct,p50_program_ct,p90_program_ct,p95_program_ct,makespan,programs_per_hour,steps_per_min,completed_programs,completed_requests,mean_request_ct,mean_queue_s,p95_queue_s,cache_hit_prefix_ratio,warm_admits,cold_admits,prefill_tokens,cold_recompute_tokens,decode_tokens,aggregate_gen_tps,cache_evictions,evicted_prefix_tokens,emergency_evictions,reserve_expansions,active_preemptions,preempted_context_tokens,decode_stall_s,memory_violations,physical_kv_util,reserved_kv_util,idle_cache_fraction,mean_active,max_active,max_waiting,mean_engine_waiting,max_router_paused,mean_router_paused,mean_decode_batch,mean_prefill_batch,gpu_busy_fraction,decision_calls,mean_decision_ms,p95_decision_ms,decode_reserve,thunder_marked_for_pause,thunder_mean_decayed_cache_fraction,bdp_lambda_last,bdp_lambda_mean,bdp_lambda_max,bdp_updates,bdp_binding_fraction,mean_program_ct_fcfs,p90_program_ct_fcfs,p95_program_ct_fcfs,makespan_fcfs,aggregate_gen_tps_fcfs,physical_kv_util_fcfs,cache_hit_prefix_ratio_fcfs,mean_active_fcfs,mean_router_paused_fcfs,active_preemptions_fcfs,mean_program_ct_improvement_pct,p90_program_ct_improvement_pct,p95_program_ct_improvement_pct,makespan_improvement_pct,aggregate_gen_tps_improvement_pct
coder80_experiment_r0,20262101,1247.0,15.5875,2850.0375,1373.9013632718525,433.14434643143545,21415.6875,235035.7,6751.6375,1.1123178117603374,13.778471398162225,58447.0,fcfs,551.0266393639727,593.5,820.7,870.6249999999999,1341.5,214.6850540439806,55.773387998509136,80.0,1247.0,289.83359248841765,9.657869770816376,25.277236015861863,0.282948398902805,490.0,757.0,13482617.999999978,11769363.0,540130.9999999913,402.6321282146786,0.0,0.0,0.0,8958.0,0.0,0.0,0,0.0,0.4961384698993072,0.5329510380618285,0.4833131481635106,22.90780300893742,77.0,61.0,0.15331501794052985,33.0,8.977535299446906,20.546015671308936,2.361787337628529,1.0,448.0,0.005712676284019835,0.012095627607777713,1024.0,,,,,,,,551.0266393639727,820.7,870.6249999999999,1341.5,402.6321282146786,0.4961384698993072,0.282948398902805,22.90780300893742,8.977535299446906,0.0,0.0,0.0,0.0,0.0,0.0
coder80_experiment_r0,20262101,1247.0,15.5875,2850.0375,1373.9013632718525,433.14434643143545,21415.6875,235035.7,6751.6375,1.1123178117603374,13.778471398162225,58447.0,thunder,499.41969082354007,544.5,763.8000000000001,828.425,1322.5,217.76937618147448,56.57466918714556,80.0,1247.0,267.25655327842225,5.690892847370776,11.250748456452229,0.7933804311430136,1059.0,188.0,3976758.1622884567,2285836.105144074,540131.0000000173,408.41663516069366,113.0,1817109.0,0.0,7990.0,27.0,393048.16228845174,0,0.0,0.5242808123954981,0.5423157020772854,0.4551651893606442,23.813313215998143,79.0,61.0,0.19784305875335462,20.0,5.366006336991572,23.102470343600203,0.7108428723979054,0.9975676312382179,441.0,0.01783229678852353,0.04054210148751736,1024.0,6.0,0.27397315097455704,,,,,,551.0266393639727,820.7,870.6249999999999,1341.5,402.6321282146786,0.4961384698993072,0.282948398902805,22.90780300893742,8.977535299446906,0.0,9.365599565204391,6.933105885219931,4.847092605886568,1.4163250093179276,1.4366729678687795
coder80_experiment_r0,20262101,1247.0,15.5875,2850.0375,1373.9013632718525,433.14434643143545,21415.6875,235035.7,6751.6375,1.1123178117603374,13.778471398162225,58447.0,bdp,457.6917423254223,414.20693702582514,733.3000000000003,838.0191929386697,1291.5,222.9965156794425,57.93263646922183,80.0,1247.0,269.64718385456905,7.307155900187042,9.03371244576668,0.8434900527877255,1091.0,156.0,2942834.0000000107,1229579.0,540130.9999999813,418.219899341836,0.0,0.0,0.0,3891.0,0.0,0.0,0,0.0,0.45803860825422255,0.4742701784309453,0.520160549487168,20.379879889019943,77.0,20.0,0.06227130466771159,39.0,7.055380106491081,19.72159537429681,0.6582845147231055,1.0,431.0,0.11265775396244432,0.3909170045517385,1024.0,,,0.0,3.3140366718250463e-09,2.322857220080995e-08,431.0,0.2900232018561485,551.0266393639727,820.7,870.6249999999999,1341.5,402.6321282146786,0.4961384698993072,0.282948398902805,22.90780300893742,8.977535299446906,0.0,16.938363841407558,10.649445595223558,3.745103467202322,3.727171077152441,3.8714672860994837
coder80_experiment_r1,20262102,1280.0,16.0,2794.2875,1422.5671875,341.98359375,22761.075,235351.95,5471.7375,0.8038588983432483,13.707470646209464,47196.0,fcfs,479.2811959233728,529.0136315435996,722.5500000000001,778.125,811.0,355.11713933415535,94.69790382244143,80.0,1280.0,246.74468809344907,8.033357236373678,20.463028645847764,0.2657454081005065,503.0,777.0,13824660.000000047,12003774.0,437739.00000000914,539.752157829851,0.0,0.0,0.0,7549.0,0.0,0.0,0,0.0,0.7214897248629207,0.78564834698339,0.2506842193774555,32.975756635682686,74.0,63.0,0.27110003461912036,30.0,12.6790348490238,28.839013113076383,4.136743522606336,1.0,271.0,0.007919577548342218,0.012603995855897665,1024.0,,,,,,,,479.2811959233728,722.5500000000001,778.125,811.0,539.752157829851,0.7214897248629207,0.2657454081005065,32.975756635682686,12.6790348490238,0.0,0.0,0.0,0.0,0.0,0.0
coder80_experiment_r1,20262102,1280.0,16.0,2794.2875,1422.5671875,341.98359375,22761.075,235351.95,5471.7375,0.8038588983432483,13.707470646209464,47196.0,thunder,448.2696277575139,504.3864258759781,679.75718737093,744.5921658711266,794.0,362.72040302267004,96.72544080604534,80.0,1280.0,229.32820087364877,5.753915559782438,5.699561350399598,0.7771603868164254,1087.0,193.0,4272969.006954654,2468676.047940286,437738.99999999633,551.3085642317334,134.0,1985367.0,0.0,6621.0,19.0,323947.00695465296,0,0.0,0.7538611324980525,0.7846903625918676,0.2182346587546775,34.13668504610183,79.0,63.0,0.37208151861206157,24.0,9.275833648011995,32.927057584684455,1.209627461417354,1.0,265.0,0.024479262109072704,0.04201661795377729,1024.0,6.0,0.42055891172565285,,,,,,479.2811959233728,722.5500000000001,778.125,811.0,539.752157829851,0.7214897248629207,0.2657454081005065,32.975756635682686,12.6790348490238,0.0,6.470432896102405,5.922470781132117,4.309440530618274,2.096177558569667,2.14105793450583
coder80_experiment_r1,20262102,1280.0,16.0,2794.2875,1422.5671875,341.98359375,22761.075,235351.95,5471.7375,0.8038588983432483,13.707470646209464,47196.0,bdp,392.7700819702271,386.06435118803256,668.4060562031586,706.425,823.5,349.72677595628414,93.26047358834244,80.0,1280.0,230.5210454526447,6.205524005106417,9.967916454808263,0.820091887915099,1116.0,164.0,3387337.999999994,1566452.0,437739.0000000008,531.5591985428061,0.0,0.0,0.0,2940.0,0.0,0.0,0,0.0,0.6317379495670095,0.6571871171895489,0.3393076295487826,27.06129529557895,75.0,26.0,0.11774317361984202,46.0,9.645501793000859,25.96019707232669,1.101098223252244,1.0,275.0,0.163560184142129,0.39213739801198244,1024.0,,,0.0,6.520373765009027e-09,2.0843677997112982e-08,275.0,0.5709090909090909,479.2811959233728,722.5500000000001,778.125,811.0,539.752157829851,0.7214897248629207,0.2657454081005065,32.975756635682686,12.6790348490238,0.0,18.05017903664575,7.493452881716341,9.214457831325307,-1.5413070283600494,-1.5179113539787847
coder80_experiment_r2,20262103,1284.0,16.05,2736.425,1429.0809968847352,375.08644859813086,22936.75,254899.25,6020.1375,0.7701520649139411,13.07709909211412,35659.0,fcfs,569.9798563296663,608.6498154685819,809.7678165280951,847.2084657374077,889.954217070883,323.6121527103921,86.56625085002987,80.0,1284.0,307.52295378821003,10.89536800372639,25.994514689132664,0.24589710444420687,420.0,864.0,15377620.999999939,13542681.0,481610.99999998853,541.1637933298643,0.0,0.0,0.0,8683.0,0.0,0.0,0,0.0,0.717538326796392,0.7819984741627161,0.2562352308120824,34.081091528499144,77.0,63.0,0.2606391762673052,38.0,15.719519328566127,29.98566371516177,4.095427813337353,0.9996772839585478,299.0,0.008666093607610684,0.012790912296622992,1024.0,,,,,,,,569.9798563296663,809.7678165280951,847.2084657374077,889.954217070883,541.1637933298643,0.717538326796392,0.24589710444420687,34.081091528499144,15.719519328566127,0.0,0.0,0.0,0.0,0.0,0.0
coder80_experiment_r2,20262103,1284.0,16.05,2736.425,1429.0809968847352,375.08644859813086,22936.75,254899.25,6020.1375,0.7701520649139411,13.07709909211412,35659.0,thunder,486.35715407155266,524.8910457604627,761.5573660682672,788.1,833.5,345.5308938212358,92.42951409718057,80.0,1284.0,280.3640468046545,5.6100886404893995,17.71771700903192,0.7953712103899874,1061.0,223.0,4314778.809398911,2509984.2752140546,481611.0000000112,577.8176364727188,125.0,1698469.0,0.0,7717.0,35.0,499600.8093989099,0,0.0,0.7845796903021621,0.815180747485111,0.18785326222306498,36.4210750188385,79.0,63.0,0.3624289811215879,23.0,8.642296118042463,35.19399955472905,1.2270754641094261,1.0,278.0,0.025076602364508368,0.04053140291944146,1024.0,9.0,0.45162657526746386,,,,,,569.9798563296663,809.7678165280951,847.2084657374077,889.954217070883,541.1637933298643,0.717538326796392,0.24589710444420687,34.081091528499144,15.719519328566127,0.0,14.671167994706773,5.95361404538546,6.976850223747447,6.343496776350077,6.773151418227319
coder80_experiment_r2,20262103,1284.0,16.05,2736.425,1429.0809968847352,375.08644859813086,22936.75,254899.25,6020.1375,0.7701520649139411,13.07709909211412,35659.0,bdp,439.4043286497391,427.8681960484227,743.392314727641,785.5249999999999,884.7420325629937,325.518613788132,87.0762291883253,80.0,1284.0,275.5639618583788,7.041525448078145,9.936818500562174,0.8471123394831487,1119.0,165.0,3117676.0000000014,1282736.0,481611.00000000297,544.3518927261006,0.0,0.0,0.0,3535.0,0.0,0.0,0,0.0,0.6232537217004015,0.6465879304463622,0.3494313949414635,28.227645043933943,76.0,19.0,0.10248822289836686,43.0,10.219158062537948,27.232064312786754,0.9955807311471672,0.9952053452793409,299.0,0.1580821931125428,0.42185885831713676,1024.0,,,0.0,5.368258359970239e-09,1.9964513499740066e-08,299.0,0.5083612040133779,569.9798563296663,809.7678165280951,847.2084657374077,889.954217070883,541.1637933298643,0.717538326796392,0.24589710444420687,34.081091528499144,15.719519328566127,0.0,22.90879690393911,8.196855993245219,7.280789585089746,0.5856688364311884,0.5891191235502635
coder80_experiment_r3,20262104,1200.0,15.0,2696.15,1380.9391666666668,405.4291666666667,20714.0875,223186.55,6081.4375,0.7646802742190708,12.927283174222547,40921.0,fcfs,529.526137278776,614.25,765.0247187462586,829.1102028713993,901.5,319.4675540765391,79.86688851913478,80.0,1200.0,304.2639617472718,9.165961859698443,26.921773865868424,0.31001560129855493,492.0,708.0,12319619.000000002,10662492.0,486514.9999999936,539.6727676095326,0.0,0.0,0.0,8883.0,0.0,0.0,0,0.0,0.7012042536082909,0.7479924309339103,0.27012355526601783,33.41819059230393,75.0,60.0,0.2243541627999059,28.0,12.200947566986262,30.293073102135907,3.1251174901680616,1.0,301.0,0.008332379861577009,0.014374963939189911,1024.0,,,,,,,,529.526137278776,765.0247187462586,829.1102028713993,901.5,539.6727676095326,0.7012042536082909,0.31001560129855493,33.41819059230393,12.200947566986262,0.0,0.0,0.0,0.0,0.0,0.0
