policy,mean_program_ct,p90_program_ct,p95_program_ct,makespan,aggregate_gen_tps,physical_kv_util,cache_hit_prefix_ratio,mean_active,mean_router_paused,active_preemptions,mean_ct_improvement_pct,mean_ct_improvement_ci_low,mean_ct_improvement_ci_high,p90_ct_improvement_pct,p95_ct_improvement_pct,win_rate_vs_fcfs,makespan_improvement_pct,gen_tps_improvement_pct
bdp,418.95709080316476,706.3709149428231,769.0168903995545,894.9758623797661,532.4465940725165,0.6183595510263762,0.8429074130994874,27.46376974135262,8.93833715149588,0.0,18.86592102840547,17.422231013158036,20.34427815509123,7.8176995216986,6.055130376400594,1.0,3.2811596743624634,3.4436731504620797
thunder,464.50987136911345,719.4113935029706,774.379832493956,892.1097406138,534.8802033737217,0.7146942272556654,0.7903804063947949,32.79438044581183,7.666043874029239,21.25,10.213060537165898,8.779860716601746,11.6088224648632,6.123703689354429,5.499427590177211,1.0,3.6744591672274916,3.8382560776123094
fcfs,517.226957215297,765.9141573556257,819.2507902531045,925.6836600646723,514.8497876985152,0.6693729068267206,0.27035811904536117,31.309307675838188,12.32946228364215,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
