policy,mean_program_ct,p50_program_ct,p90_program_ct,p95_program_ct,makespan,programs_per_hour,steps_per_min,completed_programs,completed_requests,mean_request_ct,mean_queue_s,p95_queue_s,cache_hit_prefix_ratio,warm_admits,cold_admits,prefill_tokens,cold_recompute_tokens,decode_tokens,cache_evictions,evicted_prefix_tokens,emergency_evictions,reserve_expansions,decode_stall_s,memory_violations,physical_kv_util,reserved_kv_util,idle_cache_fraction,mean_active,mean_decode_batch,mean_prefill_batch,gpu_busy_fraction,decision_calls,mean_decision_ms,p95_decision_ms,decode_reserve,knapsack_calls,mean_knapsack_ms
thunder_greedy,9494.880068704875,10322.75,16770.15,17625.7,18264.918377476155,15.767932494850589,2.4900193398118224,80.0,758.0,6867.9855861674605,701.5134785132137,2177.1218874954975,0.13998929444721717,61.0,697.0,21946148.000000004,19725000.0,1273063.999999999,617.0,19725000.0,2.0,2806.0,17.313622059813966,0.0,0.5127222878312371,0.939022126384443,0.021608546422420202,11.968139606559083,2.5458857084525284,9.422253898106542,0.9886438924505714,3658.0,0.010532981760905799,0.017590132483746843,4241.0,,
hazard_grade_knapsack,7572.821515141934,8367.25,13947.000000000004,14828.147689328154,15469.946819921046,18.61674143760695,2.9398937520220976,80.0,758.0,5462.608611928378,547.6782635933731,2194.2518671088205,0.34046129971445027,221.0,537.0,17348170.000000104,15127022.0,1273063.9999999946,457.0,15127022.0,0.0,2812.0,63.0,0.0,0.5362044399513446,0.9307104916101165,0.016186160119054802,11.728514892798504,3.3202156650438672,8.408299227754632,0.9899840108227446,3099.0,0.026509949585699955,0.045708101242780685,4241.0,3099.0,0.0020864004503350153
