metric,case,description,degradation_vs_bdp_pct,ci_low,ci_high,worse_seeds,repetitions
mean_program_ct,bdp_full,reference,0.0,0.0,0.0,0,20
mean_program_ct,no_decode_update,Bayesian decode-scale update,2.9810102466674953,2.2052961076335658,3.796653903968358,20,20
mean_program_ct,naive_decode_update,mixture-aware decode evidence,1.1626035277017137,0.5355957083094404,1.8034016169268603,14,20
mean_program_ct,no_context_guard,observable context conditioning,0.9365872942897961,0.40491454703660196,1.5185730962061292,16,20
mean_program_ct,no_k_survival_update,K survival posterior,0.4378470935446142,0.1776904797194957,0.7111043023265322,15,20
mean_program_ct,current_turn_only,remaining-program objective,20.944738773467492,18.928371882828756,23.24086902362939,20,20
mean_program_ct,no_dual_price,KV dual price,3.2527752071590763,2.6003694629914866,3.9266004506084284,20,20
mean_program_ct,admission_footprint,future KV footprint,4.050218328704246,3.3411749324204596,4.718360812318038,20,20
mean_program_ct,legacy_action,minimal margin replaced by block normalization and tie heuristics,0.0,0.0,0.0,0,20
p90_program_ct,bdp_full,reference,0.0,0.0,0.0,0,20
p90_program_ct,no_decode_update,Bayesian decode-scale update,0.5336886772339591,-0.6417896872132485,1.6735192949017017,12,20
p90_program_ct,naive_decode_update,mixture-aware decode evidence,1.0590263982966408,-0.14039476292282457,2.313809489643466,15,20
p90_program_ct,no_context_guard,observable context conditioning,0.5436510977570512,-0.0861744667905444,1.1945915570552696,13,20
p90_program_ct,no_k_survival_update,K survival posterior,0.3471538177924924,0.07780211631917792,0.6096373283246312,13,20
p90_program_ct,current_turn_only,remaining-program objective,2.8058308807488124,1.411981907997418,4.122480094147424,17,20
p90_program_ct,no_dual_price,KV dual price,2.8460406737322854,2.195466849794372,3.4502040769599054,19,20
p90_program_ct,admission_footprint,future KV footprint,1.791127116162393,0.9399861110848291,2.6319961179064424,15,20
p90_program_ct,legacy_action,minimal margin replaced by block normalization and tie heuristics,0.0,0.0,0.0,0,20
p95_program_ct,bdp_full,reference,0.0,0.0,0.0,0,20
p95_program_ct,no_decode_update,Bayesian decode-scale update,0.24621614957459353,-0.9321307519569585,1.4456549386939253,12,20
p95_program_ct,naive_decode_update,mixture-aware decode evidence,-0.4450158403287398,-1.2739481959960097,0.4333951188857615,8,20
p95_program_ct,no_context_guard,observable context conditioning,-0.2851891646473768,-0.9005485667555013,0.30508383280598744,10,20
p95_program_ct,no_k_survival_update,K survival posterior,-0.07871809263711793,-0.4755797050465549,0.34185317440008717,9,20
p95_program_ct,current_turn_only,remaining-program objective,1.5876317593177425,0.480643875401011,2.6698382613632448,15,20
p95_program_ct,no_dual_price,KV dual price,2.280079989113382,1.460381983448787,3.0742091900554667,17,20
p95_program_ct,admission_footprint,future KV footprint,0.9924514761769316,-0.023775722490014813,2.0224378497634086,11,20
p95_program_ct,legacy_action,minimal margin replaced by block normalization and tie heuristics,0.0,0.0,0.0,0,20
makespan,bdp_full,reference,0.0,0.0,0.0,0,20
makespan,no_decode_update,Bayesian decode-scale update,-1.1707935185264167,-2.432285948522518,-0.027982663833638267,9,20
makespan,naive_decode_update,mixture-aware decode evidence,-0.7196933966408777,-1.4329645879963644,-0.012218328795694393,7,20
makespan,no_context_guard,observable context conditioning,-0.09756934030214051,-0.46596080033142323,0.22646953434692854,11,20
makespan,no_k_survival_update,K survival posterior,-0.26237528521061304,-0.7246026729842419,0.13110982871096225,11,20
makespan,current_turn_only,remaining-program objective,0.2641052384221938,-0.9835941452564003,1.4796074932348462,12,20
makespan,no_dual_price,KV dual price,1.060990508113715,0.253516846113445,1.8221691683965802,14,20
makespan,admission_footprint,future KV footprint,0.10732977783249786,-0.8320696328633985,0.9427315947235821,13,20
makespan,legacy_action,minimal margin replaced by block normalization and tie heuristics,0.0,0.0,0.0,0,20
