case,mechanism_removed_or_replaced,mean_program_ct,degradation_vs_full_pct,ci_low,ci_high,worse_seeds,repetitions,mean_decision_ms
current_turn_only,remaining-program objective,507.2315640779672,20.944738773467492,18.928371882828756,23.24086902362939,20,20,0.40074902039678284
admission_footprint,future KV footprint,435.66478620684677,4.050218328704246,3.3411749324204596,4.718360812318038,20,20,0.1709979211645196
no_dual_price,KV dual price,432.3995807278531,3.2527752071590763,2.6003694629914866,3.9266004506084284,20,20,0.1388390464822846
no_decode_update,Bayesian decode-scale update,431.0003630814475,2.9810102466674953,2.2052961076335658,3.796653903968358,20,20,0.054111760033504076
naive_decode_update,mixture-aware decode evidence,423.4931110943295,1.1626035277017137,0.5355957083094404,1.8034016169268603,14,20,0.05554740588394016
no_context_guard,observable context conditioning,422.4958005907671,0.9365872942897961,0.40491454703660196,1.5185730962061292,16,20,0.17268398353967734
no_k_survival_update,K survival posterior,420.5970266822568,0.4378470935446142,0.1776904797194957,0.7111043023265322,15,20,0.1670272693311829
bdp_full,reference,418.668958868643,0.0,0.0,0.0,0,20,0.1364327141453557
legacy_action,minimal margin replaced by block normalization and tie heuristics,418.668958868643,0.0,0.0,0.0,0,20,0.13637662932857839
