memory_factor,policy,mean_program_impr,p90_program_impr,makespan_impr,throughput_impr,preempt_events,deleted_from_memory_ratio
1,area_knapsack,3.9163930318390743,-8.688430150018469,-15.105666697991698,-13.123304118141432,18.0,0.8656716417910447
1,bayes_dual_price,18.205025136121364,-0.9597474682748823,-6.318442888020387,-5.942941522079348,123.0,0.11510791366906475
1,bayes_grade,10.919791498091948,-4.8037143166426315,-11.469383468123096,-10.289267879016295,19.0,0.8303571428571429
1,bayes_grade_warm_marginal,20.23842772647305,5.13686059865547,-1.2366016395889419,-1.2214965926961363,19.0,0.7865168539325843
1,commit_many,0.0,0.0,0.0,0.0,83.0,0.5513513513513514
1,current_density,9.142578971272247,-6.3537310517219705,-10.512495923139431,-9.51249524800415,21.0,0.7613636363636364
1,dual_descent_current,28.50470095063088,11.320441308397028,4.0707798274175095,4.243524361079909,40.0,0.5
1,dual_threshold,-1.0712216207186374,-25.737121143310755,-30.104091233229592,-23.13846624489605,3.0,0.9090909090909091
1,least_rounds,-246.4506648151725,-439.64198128408435,-393.58150127971965,-79.7399214231636,23.0,0.9138576779026217
1,lp_dual_descent,31.331796801996273,3.8822273457417547,0.06909933167126407,0.06914711186343236,10.0,0.7727272727272727
1,lp_infrequent,14.591544553318332,4.2919568346934955,-5.907716460566394,-5.578173770526018,1.0,0.9827586206896551
1,lp_selective,-3.813029542120626,-26.061184445459187,-27.59716748019613,-21.628354316312993,7.0,0.8541666666666666
1,lp_solve_once,0.14956383739565202,-22.00028368759028,-26.330714929325204,-20.842686550183565,4.0,0.9272727272727272
1,lp_update_long,35.75743773393819,19.257783678258455,7.793299023211848,8.451987697915486,0.0,1.0
1,mpc_short,34.24496364006536,9.248650928641364,3.9054942260598455,4.064222188984901,0.0,1.0
1,mu_two_price,14.209151845142687,-0.9707590260557061,-18.630838202532907,-15.704886254554939,192.0,0.09004739336492891
