seed,total_requests,mean_rounds,mean_initial_prompt,mean_prompt_per_turn,mean_decode_per_turn,mean_total_prompt_per_program,mean_submitted_prompt_per_program,mean_total_decode_per_program,cv_total_decode_per_program,mean_tool_s_per_program,max_final_context,policy,mean_program_ct,p50_program_ct,p90_program_ct,p95_program_ct,makespan,programs_per_hour,steps_per_min,completed_programs,completed_requests,mean_request_ct,mean_queue_s,p95_queue_s,cache_hit_prefix_ratio,warm_admits,cold_admits,prefill_tokens,cold_recompute_tokens,decode_tokens,aggregate_gen_tps,cache_evictions,evicted_prefix_tokens,emergency_evictions,reserve_expansions,active_preemptions,preempted_context_tokens,decode_stall_s,memory_violations,physical_kv_util,reserved_kv_util,idle_cache_fraction,mean_active,max_active,max_waiting,mean_engine_waiting,max_router_paused,mean_router_paused,mean_decode_batch,mean_prefill_batch,gpu_busy_fraction,decision_calls,mean_decision_ms,p95_decision_ms,decode_reserve,thunder_marked_for_pause,thunder_mean_decayed_cache_fraction,bdp_lambda_last,bdp_lambda_mean,bdp_lambda_max,bdp_updates,bdp_binding_fraction
20262101,1247.0,15.5875,2850.0375,1373.9013632718525,433.14434643143545,21415.6875,235035.7,6751.6375,1.1123178117603374,13.778471398162225,58447.0,fcfs,551.0266393639727,593.5,820.7,870.6249999999999,1341.5,214.6850540439806,55.773387998509136,80.0,1247.0,289.83359248841765,9.657869770816376,25.277236015861863,0.282948398902805,490.0,757.0,13482617.999999978,11769363.0,540130.9999999913,402.6321282146786,0.0,0.0,0.0,8958.0,0.0,0.0,0,0.0,0.4961384698993072,0.5329510380618285,0.4833131481635106,22.90780300893742,77.0,61.0,0.15331501794052985,33.0,8.977535299446906,20.546015671308936,2.361787337628529,1.0,448.0,0.005702090805113714,0.011693662963807581,1024.0,,,,,,,
20262101,1247.0,15.5875,2850.0375,1373.9013632718525,433.14434643143545,21415.6875,235035.7,6751.6375,1.1123178117603374,13.778471398162225,58447.0,thunder,499.41969082354007,544.5,763.8000000000001,828.425,1322.5,217.76937618147448,56.57466918714556,80.0,1247.0,267.25655327842225,5.690892847370776,11.250748456452229,0.7933804311430136,1059.0,188.0,3976758.1622884567,2285836.105144074,540131.0000000173,408.41663516069366,113.0,1817109.0,0.0,7990.0,27.0,393048.16228845174,0,0.0,0.5242808123954981,0.5423157020772854,0.4551651893606442,23.813313215998143,79.0,61.0,0.19784305875335462,20.0,5.366006336991572,23.102470343600203,0.7108428723979054,0.9975676312382179,441.0,0.01770324552064242,0.04083302337676287,1024.0,6.0,0.27397315097455704,,,,,
20262101,1247.0,15.5875,2850.0375,1373.9013632718525,433.14434643143545,21415.6875,235035.7,6751.6375,1.1123178117603374,13.778471398162225,58447.0,bdp,457.6917423254223,414.20693702582514,733.3000000000003,838.0191929386697,1291.5,222.9965156794425,57.93263646922183,80.0,1247.0,269.64718385456905,7.307155900187042,9.03371244576668,0.8434900527877255,1091.0,156.0,2942834.0000000107,1229579.0,540130.9999999813,418.219899341836,0.0,0.0,0.0,3891.0,0.0,0.0,0,0.0,0.45803860825422255,0.4742701784309453,0.520160549487168,20.379879889019943,77.0,20.0,0.06227130466771159,39.0,7.055380106491081,19.72159537429681,0.6582845147231055,1.0,431.0,0.37905829499438926,1.2946251081302762,1024.0,,,0.0,3.3140366718250463e-09,2.322857220080995e-08,431.0,0.2900232018561485
20262101,1247.0,15.5875,2850.0375,1373.9013632718525,433.14434643143545,21415.6875,235035.7,6751.6375,1.1123178117603374,13.778471398162225,58447.0,hindsight_index,405.9977579774087,330.3036142814167,770.9075960458306,873.425,1344.2168076874568,214.2511523088787,55.66066394357744,80.0,1247.0,239.21652385892452,5.341744369914724,7.2715957322053555,0.8633563433129521,1104.0,143.0,2569291.000000001,856036.0,540131.0000000107,401.81836509635156,0.0,0.0,0.0,3513.0,0.0,0.0,0,0.0,0.41354252970342675,0.42793500458914185,0.5661608698402794,18.28415271916451,78.0,34.0,0.10305056211068885,34.0,4.95541730410534,17.69629750587552,0.587855213288981,0.9976069279382164,450.0,0.13133843610477117,0.5830902431625873,1024.0,,,0.0,1.6706406117764659e-09,1.8347292967510952e-08,450.0,0.21777777777777776
