seed,case,total_requests,mean_rounds,mean_initial_prompt,mean_prompt_per_turn,mean_decode_per_turn,mean_total_prompt_per_program,mean_submitted_prompt_per_program,mean_total_decode_per_program,cv_total_decode_per_program,mean_tool_s_per_program,max_final_context,policy,mean_program_ct,p50_program_ct,p90_program_ct,p95_program_ct,makespan,programs_per_hour,steps_per_min,completed_programs,completed_requests,mean_request_ct,mean_queue_s,p95_queue_s,cache_hit_prefix_ratio,warm_admits,cold_admits,prefill_tokens,cold_recompute_tokens,decode_tokens,aggregate_gen_tps,cache_evictions,evicted_prefix_tokens,emergency_evictions,reserve_expansions,active_preemptions,preempted_context_tokens,decode_stall_s,memory_violations,physical_kv_util,reserved_kv_util,idle_cache_fraction,mean_active,max_active,max_waiting,mean_engine_waiting,max_router_paused,mean_router_paused,mean_decode_batch,mean_prefill_batch,gpu_busy_fraction,decision_calls,mean_decision_ms,p95_decision_ms,decode_reserve,bdp_lambda_last,bdp_lambda_mean,bdp_lambda_max,bdp_updates,bdp_binding_fraction
20262201,bdp_full,1191.0,14.8875,2755.5375,1362.3308144416458,350.84550797649035,20281.7,218074.725,5223.2125,0.8665240966199166,13.481581629612032,37975.0,bdp,356.30886085462816,354.5,609.1114743751161,666.8338433780501,824.9311349041433,349.1200511342871,86.62541268769499,80.0,1191.0,228.80365014200214,4.337903419792074,6.0,0.8639115560044842,1057.0,134.0,2374195.9999999963,751660.0,417856.99999999243,506.5356153014485,0.0,0.0,0.0,2952.0,0.0,0.0,0,0.0,0.5511651513863219,0.573004536487978,0.41007791378465414,26.873385772829874,76.0,23.0,0.1103688985409865,44.0,6.26287789898087,25.992345293785046,0.8810404790448174,0.9992330371577866,277.0,0.13302560830118962,0.35053319297730917,1024.0,0.0,4.106044141360909e-09,1.9006325973635695e-08,277.0,0.3971119133574007
20262201,legacy_action,1191.0,14.8875,2755.5375,1362.3308144416458,350.84550797649035,20281.7,218074.725,5223.2125,0.8665240966199166,13.481581629612032,37975.0,bdp,356.30886085462816,354.5,609.1114743751161,666.8338433780501,824.9311349041433,349.1200511342871,86.62541268769499,80.0,1191.0,228.80365014200214,4.337903419792074,6.0,0.8639115560044842,1057.0,134.0,2374195.9999999963,751660.0,417856.99999999243,506.5356153014485,0.0,0.0,0.0,2952.0,0.0,0.0,0,0.0,0.5511651513863219,0.573004536487978,0.41007791378465414,26.873385772829874,76.0,23.0,0.1103688985409865,44.0,6.26287789898087,25.992345293785046,0.8810404790448174,0.9992330371577866,277.0,0.12583289226510358,0.33986677881330246,1024.0,0.0,4.106044141360909e-09,1.9006325973635695e-08,277.0,0.3971119133574007
20262202,bdp_full,1231.0,15.3875,3031.2625,1402.0844841592202,359.7034930950447,21574.575,238694.3,5534.9375,0.9806100665529335,14.834955612820721,47803.0,bdp,408.27219849853054,428.049943689663,625.1500000000001,692.4271830611619,919.5,313.2137030995106,80.326264274062,80.0,1231.0,258.3385009406026,6.706161472766009,9.266565922871393,0.8501512708933561,1079.0,152.0,2861443.000000003,1135477.0,442794.99999998155,481.5606307775765,0.0,0.0,0.0,3148.0,0.0,0.0,0,0.0,0.536050569334797,0.5571196202338807,0.4371822742671557,25.149101174320357,74.0,22.0,0.10342156399589521,45.0,8.978014978765579,24.248208177712282,0.9008929966080993,1.0,307.0,0.14909283949687155,0.35359106259420514,1024.0,0.0,4.991070672928504e-09,1.813743203127598e-08,307.0,0.4495114006514658
20262202,legacy_action,1231.0,15.3875,3031.2625,1402.0844841592202,359.7034930950447,21574.575,238694.3,5534.9375,0.9806100665529335,14.834955612820721,47803.0,bdp,408.27219849853054,428.049943689663,625.1500000000001,692.4271830611619,919.5,313.2137030995106,80.326264274062,80.0,1231.0,258.3385009406026,6.706161472766009,9.266565922871393,0.8501512708933561,1079.0,152.0,2861443.000000003,1135477.0,442794.99999998155,481.5606307775765,0.0,0.0,0.0,3148.0,0.0,0.0,0,0.0,0.536050569334797,0.5571196202338807,0.4371822742671557,25.149101174320357,74.0,22.0,0.10342156399589521,45.0,8.978014978765579,24.248208177712282,0.9008929966080993,1.0,307.0,0.14916071152551166,0.35753309493884444,1024.0,0.0,4.991070672928504e-09,1.813743203127598e-08,307.0,0.4495114006514658
20262203,bdp_full,1256.0,15.7,2609.9875,1540.9179936305732,333.4331210191083,24192.4125,250955.8625,5234.9,0.8730865794478045,13.320013362137166,45847.0,bdp,360.9794650836532,320.0151762124716,677.028292447831,706.6781758049768,766.5,375.73385518591,98.3170254403131,80.0,1256.0,223.44012225368004,5.445830085270035,6.713637292189826,0.8632135461669082,1109.0,147.0,2746188.9999999977,810796.0,418791.99999999895,546.3692106979764,0.0,0.0,0.0,2633.0,0.0,0.0,0,0.0,0.6379292533052242,0.6617541320727126,0.33395821419240135,27.23716715715845,74.0,22.0,0.12459872754102591,46.0,8.923630250618611,26.17039693413145,1.0667702230269551,1.0,256.0,0.14984849076427054,0.39415594073943794,1024.0,0.0,4.610535665892812e-09,1.7461333319295886e-08,256.0,0.44140625
20262203,legacy_action,1256.0,15.7,2609.9875,1540.9179936305732,333.4331210191083,24192.4125,250955.8625,5234.9,0.8730865794478045,13.320013362137166,45847.0,bdp,360.9794650836532,320.0151762124716,677.028292447831,706.6781758049768,766.5,375.73385518591,98.3170254403131,80.0,1256.0,223.44012225368004,5.445830085270035,6.713637292189826,0.8632135461669082,1109.0,147.0,2746188.9999999977,810796.0,418791.99999999895,546.3692106979764,0.0,0.0,0.0,2633.0,0.0,0.0,0,0.0,0.6379292533052242,0.6617541320727126,0.33395821419240135,27.23716715715845,74.0,22.0,0.12459872754102591,46.0,8.923630250618611,26.17039693413145,1.0667702230269551,1.0,256.0,0.15103968917173916,0.3985727089457214,1024.0,0.0,4.610535665892812e-09,1.7461333319295886e-08,256.0,0.44140625
20262204,bdp_full,1183.0,14.7875,2488.8,1483.651732882502,364.1969568892646,21939.5,223787.3,5385.5625,0.7891623590942343,14.771322586879432,39277.0,bdp,393.0825542625977,386.56668699519116,636.8000000000002,699.6729497987701,785.2388909577833,366.76736635995746,90.39287383413118,80.0,1183.0,239.93707765908388,6.684174678618937,8.695824577219394,0.8311936714013709,1029.0,154.0,3022137.0000000037,1266977.0,430845.00000000827,548.6801595811073,0.0,0.0,0.0,3089.0,0.0,0.0,0,0.0,0.6506508025298655,0.674938271508446,0.3169782803328456,28.373443174344253,74.0,25.0,0.09880921496495024,45.0,10.070029306828271,27.306137111215158,1.0673060631291003,0.9990590239909258,263.0,0.1669087661465651,0.40088356472551817,1024.0,0.0,5.654077301812522e-09,2.2132588422684874e-08,263.0,0.4828897338403042
20262204,legacy_action,1183.0,14.7875,2488.8,1483.651732882502,364.1969568892646,21939.5,223787.3,5385.5625,0.7891623590942343,14.771322586879432,39277.0,bdp,393.0825542625977,386.56668699519116,636.8000000000002,699.6729497987701,785.2388909577833,366.76736635995746,90.39287383413118,80.0,1183.0,239.93707765908388,6.684174678618937,8.695824577219394,0.8311936714013709,1029.0,154.0,3022137.0000000037,1266977.0,430845.00000000827,548.6801595811073,0.0,0.0,0.0,3089.0,0.0,0.0,0,0.0,0.6506508025298655,0.674938271508446,0.3169782803328456,28.373443174344253,74.0,25.0,0.09880921496495024,45.0,10.070029306828271,27.306137111215158,1.0673060631291003,0.9990590239909258,263.0,0.165162234878727,0.4074541851878166,1024.0,0.0,5.654077301812522e-09,2.2132588422684874e-08,263.0,0.4828897338403042
20262205,bdp_full,1261.0,15.7625,2829.425,1391.441712926249,431.9349722442506,21932.6,248494.425,6808.375,0.8336587618755629,15.179987731452192,43119.0,bdp,476.0113569095878,493.1366101461124,784.35,849.8249999999998,1077.5,267.2853828306264,70.21809744779583,80.0,1261.0,286.46487074894793,6.2262549721074505,13.036813564611947,0.8235567055478207,1072.0,189.0,3507613.999999997,1753006.0,544669.9999999794,505.4941995359438,0.0,0.0,0.0,4504.0,0.0,0.0,0,0.0,0.5891579305612913,0.6104240443074792,0.3902939150955834,26.82764846762,76.0,25.0,0.10061326270327337,46.0,7.286596306104417,25.963011790819497,0.8646366768004781,1.0,360.0,0.1245992727086155,0.31720242113806313,1024.0,0.0,4.941571296752654e-09,1.8889347777958912e-08,360.0,0.48333333333333334
20262205,legacy_action,1261.0,15.7625,2829.425,1391.441712926249,431.9349722442506,21932.6,248494.425,6808.375,0.8336587618755629,15.179987731452192,43119.0,bdp,476.0113569095878,493.1366101461124,784.35,849.8249999999998,1077.5,267.2853828306264,70.21809744779583,80.0,1261.0,286.46487074894793,6.2262549721074505,13.036813564611947,0.8235567055478207,1072.0,189.0,3507613.999999997,1753006.0,544669.9999999794,505.4941995359438,0.0,0.0,0.0,4504.0,0.0,0.0,0,0.0,0.5891579305612913,0.6104240443074792,0.3902939150955834,26.82764846762,76.0,25.0,0.10061326270327337,46.0,7.286596306104417,25.963011790819497,0.8646366768004781,1.0,360.0,0.12943485182606512,0.3303060482721776,1024.0,0.0,4.941571296752654e-09,1.8889347777958912e-08,360.0,0.48333333333333334
