scenario,seed,total_requests,mean_rounds,mean_initial_prompt,mean_prompt_per_turn,mean_decode_per_turn,mean_total_prompt_per_program,mean_submitted_prompt_per_program,mean_total_decode_per_program,cv_total_decode_per_program,mean_tool_s_per_program,max_final_context,policy,mean_program_ct,p50_program_ct,p90_program_ct,p95_program_ct,makespan,programs_per_hour,steps_per_min,completed_programs,completed_requests,mean_request_ct,mean_queue_s,p95_queue_s,cache_hit_prefix_ratio,warm_admits,cold_admits,prefill_tokens,cold_recompute_tokens,decode_tokens,aggregate_gen_tps,cache_evictions,evicted_prefix_tokens,emergency_evictions,reserve_expansions,active_preemptions,preempted_context_tokens,decode_stall_s,memory_violations,physical_kv_util,reserved_kv_util,idle_cache_fraction,mean_active,max_active,max_waiting,mean_engine_waiting,max_router_paused,mean_router_paused,mean_decode_batch,mean_prefill_batch,gpu_busy_fraction,decision_calls,mean_decision_ms,p95_decision_ms,decode_reserve
coder80_calibration_r0,20260826,1168.0,14.6,2742.2125,1434.109589041096,432.62842465753425,20938.0,224198.6125,6316.375,0.8848430368626331,12.181983033482279,36761.0,fcfs,517.2031295264745,568.2349576733742,794.1,857.9749999999999,971.0,296.60144181256436,72.173017507724,80.0,1168.0,303.4792334249127,7.969132773237418,21.47369749803952,0.3335188459295215,486.0,682.0,11953931.999999993,10278892.0,505310.00000001985,520.4016477858083,0.0,0.0,0.0,9184.0,0.0,0.0,0,0.0,0.6489796595629514,0.691101582040845,0.324876653030141,31.81849868114962,78.0,61.0,0.2038953871285551,26.0,9.58593931940403,28.996702922128488,2.821795759021207,1.0,324.0,0.007021719486349159,0.012326735304668544,1024.0
coder80_calibration_r1,20260827,1212.0,15.15,2629.6375,1444.1815181518152,351.63366336633663,21879.35,239447.0875,5327.25,0.884444774979068,12.861010072603714,46517.0,fcfs,472.2753759408408,545.1225637511238,705.5,742.05,916.5,314.2389525368249,79.34533551554829,80.0,1212.0,261.3611605475253,8.990447760609197,21.192667428886793,0.2353421296051471,425.0,787.0,14647607.999999907,12897260.0,426180.0000000056,465.00818330606177,0.0,0.0,0.0,7097.0,0.0,0.0,0,0.0,0.60433753524334,0.6699842700418029,0.3716503047121862,27.98980053049023,74.0,63.0,0.2226671002796089,33.0,11.889168233342431,23.89224833117893,4.097552199311305,1.0,306.0,0.0070161886172356944,0.011906493455171585,1024.0
coder80_calibration_r2,20260828,1263.0,15.7875,2840.6,1433.2992874109264,389.2375296912114,22628.2125,244069.6625,6145.0875,1.0605913287690005,14.618565301129355,49763.0,fcfs,540.3203090857085,590.1048507737396,772.4000000000002,838.3,1192.5,241.50943396226415,63.54716981132076,80.0,1263.0,276.04768625469023,10.645219131506394,31.563834033509995,0.21743761373865955,437.0,826.0,15279978.999999942,13469722.0,491607.0000000055,412.2490566037782,0.0,0.0,0.0,7957.0,0.0,0.0,0,0.0,0.5296967539187153,0.5810712355359405,0.44940724531185405,23.804258879721235,76.0,64.0,0.18838492713309715,37.0,11.274559130475948,20.597034052669866,3.2072248270513577,1.0,398.0,0.00620433146920261,0.011840113438665865,1024.0
