policy,mean_program_ct,p50_program_ct,p90_program_ct,p95_program_ct,makespan,program_throughput,mean_request_ct,completed_programs,completed_requests,warm_admits,cold_admits,recompute_service,preempt_events,preempted_requests_unique,preempted_request_ratio,memory_keep_events,memory_delete_events,evictions,deleted_from_memory_ratio,memory_violations,decision_wall_sec,decision_cpu_sec,decision_calls,mean_decision_ms,p95_decision_ms,memory_utilization,mean_active,mean_program_ct_e2e_1ms,p90_program_ct_e2e_1ms,makespan_e2e_1ms,mean_program_ct_e2e_10ms,p90_program_ct_e2e_10ms,makespan_e2e_10ms,mean_program_ct_e2e_50ms,p90_program_ct_e2e_50ms,makespan_e2e_50ms,lambda_current_last,dual_updates,preset,memory_factor,M,qmax_obs,total_requests_instance,lambda_projected_last
dual_descent_current,6984.882352941177,5524.75,15365.449999999999,17549.699999999993,20704.0,0.00821097372488408,5181.461743772242,170,1686,1343,343,101338.5,337,251,0.14887307236061684,337,343,343,0.5044117647058823,0,0.3303637746721506,0.32924398799999555,1524,0.21677413036230356,0.3318331204354763,0.9007648409017588,19.55670401854714,7209.92470261104,15692.858962137996,21034.36377467215,7007.386587908163,15398.190896213799,20737.036377467215,6989.383199934574,15371.998179242759,20710.607275493443,0.0,1524,quick,5,47645,9529,1686,
bayes_dual_price,6467.202941176471,5177.75,14171.349999999999,16586.149999999998,19650.25,0.00865128942379868,4902.209371293001,170,1686,1468,218,68343.5,1295,237,0.14056939501779359,1295,216,216,0.14295168762409,0,1.1381261702626944,1.1343560439999907,1510,0.7537259405713208,1.296266634017229,0.9054882687057715,18.92647676238216,7241.697016272299,15304.32800272703,20788.376170262694,6544.652348686053,14284.647800272702,19764.06261702627,6482.6928226783875,14194.00956005454,19673.012523405254,,1510,quick,5,47645,9529,1686,0.0
