policy,mean_program_ct,p50_program_ct,p90_program_ct,p95_program_ct,makespan,programs_per_hour,steps_per_min,mean_request_ct,mean_queue_s,p95_queue_s,cache_hit_prefix_ratio,warm_admits,cold_admits,prefill_tokens,cold_recompute_tokens,decode_tokens,cache_evictions,evicted_prefix_tokens,emergency_evictions,reserve_expansions,decode_stall_s,memory_violations,physical_kv_util,reserved_kv_util,idle_cache_fraction,mean_active,mean_decode_batch,mean_prefill_batch,gpu_busy_fraction,decision_calls,mean_decision_ms,p95_decision_ms,decode_reserve,factor,value,rep,scenario,seed,runtime_s,total_requests,bdp_lambda_last,bdp_updates,knapsack_calls,mean_knapsack_ms
thunder,381.20094575462684,336.7171012535571,696.6514756879636,784.4318499381192,1037.7916967887413,222.00987029760512,33.18585040386077,283.47593371766413,25.109612427356225,87.95542864141534,0.7478461693832548,382.0,192.0,297930.00000000006,227208.0,85621.99999999965,128.0,227208.0,0.0,187.0,0.0,0.0,0.6494190366296473,0.6835522221855481,0.5025610934449086,4.033061170204841,3.7182938604135436,0.31476730979129613,0.7913476096349005,1062.0,0.3783092928443332,1.0384517500142463,386.0,control_interval_s,1.0,1,control_interval_s_1.0_r1,20561721,0.898786169999994,574.0,,,,
student_bdp,198.3849946054866,157.7147636860204,362.59864325254915,591.2885489082794,723.1981896127679,318.5848683102571,47.621800627626975,149.1219530105479,1.5825222425213732,2.774018569591913,0.6371598623412857,301.0,273.0,397665.9999999995,326944.0,85621.9999999995,209.0,326944.0,1.0,211.0,0.0,0.0,0.49566605030314337,0.5653693971202665,0.19479982109078847,8.282385622172399,7.6983793977063355,0.5840062244660588,0.6637184756463691,735.0,0.27688311156329243,0.7969500000172046,386.0,control_interval_s,1.0,1,control_interval_s_1.0_r1,20561721,0.5548226680000425,574.0,0.0,302.0,,
hazard_grade_knapsack,198.85968808763363,169.61325175252676,356.46956651914707,570.0641656681973,731.8251591254747,314.82929648842105,47.06042088134211,146.8064635513506,0.9378291532143547,3.7479263579946487,0.5002968696071,239.0,335.0,520988.9999999997,450267.0,85622.00000000054,271.0,450267.0,2.0,211.0,0.0,0.0,0.4719259935663241,0.5489596911796394,0.15508972305000743,8.731922405326735,8.05544725545057,0.6764751498761624,0.6613601540815789,748.0,0.3264895681797162,0.9997885000871062,386.0,control_interval_s,1.0,1,control_interval_s_1.0_r1,20561721,0.5951872699999967,574.0,,,748.0,0.051312168445844644
thunder,500.32793414318667,467.97838552249226,850.3873657614506,889.0019235803566,1095.0848638805317,210.3946530532409,35.1205657831061,353.80232462143437,33.55342161598901,112.85980772018746,0.6965265217162722,397.0,244.0,406716.9999999998,329022.0,93751.99999999948,180.0,329022.0,0.0,188.0,0.0,0.0,0.7235142061949289,0.7592984082516253,0.5673177815039475,4.086388109969218,3.7312789068394157,0.35510920312980665,0.8915105625459866,1123.0,0.4382187898468798,0.9217815999591038,386.0,control_interval_s,1.0,2,control_interval_s_1.0_r2,20561722,1.0115262510000775,641.0,,,,
student_bdp,229.95184756432718,211.75,408.9641284968683,442.50953542268354,712.3054934262267,323.45672204739566,53.993687195932445,164.82999737955095,2.904632435912851,17.04491448670683,0.5280030105507629,272.0,369.0,589428.0,511733.0,93752.00000000186,305.0,511733.0,1.0,213.0,0.0,0.0,0.5330614791698973,0.620026720831085,0.17745729899846563,9.569975457807535,8.739705614094465,0.8302698437130667,0.7602508515492289,722.0,0.3125607008407133,0.852255150039127,386.0,control_interval_s,1.0,2,control_interval_s_1.0_r2,20561722,0.586567986000091,641.0,0.0,377.0,,
hazard_grade_knapsack,226.14470294745908,200.40014950615256,386.55,438.7660387778493,709.5558993848034,324.7101464447841,54.20291767476734,163.11965361176416,2.0377034789685005,10.040887046789067,0.47976133268522864,223.0,418.0,641731.0000000006,564036.0,93752.00000000147,354.0,564036.0,0.0,212.0,1.5152724496302643,0.0,0.5196668952110867,0.6114492592844992,0.14910844070526458,10.046833945927316,9.147826876557314,0.899007069370022,0.7567501302689834,720.0,0.38133393333244686,1.0526889999368905,386.0,control_interval_s,1.0,2,control_interval_s_1.0_r2,20561722,0.6530734180000763,641.0,,,720.0,0.05154335416237801
thunder,372.84874505355776,312.6084651425974,700.9974503613734,755.0082366415089,1074.6699560302238,214.39140333938977,31.991217217049567,290.8374272591434,25.835973721541396,88.91794478235013,0.7743116384897458,378.0,195.0,293772.00000000006,219906.0,84621.00000000029,131.0,219906.0,0.0,151.0,0.0,0.0,0.6396390194620394,0.6709823437195644,0.49108082954272325,3.7313877208077257,3.4269892968326876,0.30439842397503913,0.796670858655167,243.0,0.3455732222212163,0.8484002000841425,386.0,control_interval_s,5.0,0,control_interval_s_5.0_r0,20665720,0.4578010190000441,573.0,,,,
student_bdp,194.26731205801715,169.44478322952318,367.1458922042786,461.69910358116147,765.6474517090442,300.9217878094041,44.90317302468453,152.21478253804466,3.989001072931001,11.745371963279496,0.7899554485472285,360.0,213.0,278528.99999999977,204663.0,84621.00000000087,149.0,204663.0,0.0,164.0,0.0,0.0,0.545177257495665,0.600696898593183,0.2942501473041844,6.659871827966374,6.087007541955083,0.572864286011297,0.7587668308330761,166.0,0.25593123494804404,0.8399919999533267,386.0,control_interval_s,5.0,0,control_interval_s_5.0_r0,20665720,0.31783956899994337,573.0,0.0,108.0,,
hazard_grade_knapsack,188.27770379708647,165.3269217576456,357.35385187654083,457.2962032627951,696.8828908628868,330.6150904561835,49.33397052900864,148.2878358856829,2.775777037360451,7.720108866671767,0.6889916551978235,311.0,262.0,376906.0000000006,303040.0,84620.99999999939,198.0,303040.0,1.0,164.0,0.0,0.0,0.5771209771196336,0.6473463086007718,0.2864794710384622,7.764513103161097,6.976432553172771,0.7880805499883338,0.8179924934517866,151.0,0.36086815893912183,1.0546669999484948,386.0,control_interval_s,5.0,0,control_interval_s_5.0_r0,20665720,0.3142833239999163,573.0,,,151.0,0.0859602185312947
thunder,402.40200729411646,459.84831569222183,678.4060463861338,792.3144062009868,908.2768413345203,253.667152474653,37.19130386542439,279.3549193372683,29.386389996475764,104.10510479369539,0.7263042475299136,361.0,202.0,295184.00000000006,228395.0,85982.99999999993,138.0,228395.0,0.0,164.0,0.0,0.0,0.7377027313880355,0.7738946479094687,0.5803308501311519,4.3193539847004025,3.963150802804412,0.35620318189598854,0.8886110565565821,211.0,0.4248551042812789,0.8251839999502408,386.0,control_interval_s,5.0,1,control_interval_s_5.0_r1,20665721,0.43101928700002645,563.0,,,,
student_bdp,191.85689368177523,181.9129881429477,369.7399632294424,392.1225109441719,609.2931286973188,378.1431123186961,55.441294852975496,135.1278109608219,3.3496246288936775,6.655378594268954,0.7503538110331521,342.0,221.0,275115.0000000003,208326.0,85982.99999999935,157.0,208326.0,3.0,183.0,0.0,0.0,0.5649990716527177,0.6350632590445168,0.2668407257558835,8.381812602264306,7.656617082912574,0.7251955193517257,0.708102309909869,128.0,0.31398871092314096,0.9069167500229012,386.0,control_interval_s,5.0,1,control_interval_s_5.0_r1,20665721,0.28480874900014896,563.0,0.0,87.0,,
hazard_grade_knapsack,187.71978335343786,165.91609627832014,362.15561742085765,402.4459337704276,609.0068172720459,378.3208881503856,55.467359382465396,133.36973712072373,2.5959018212940834,5.881195541909118,0.6805802381109307,323.0,240.0,333340.00000000006,266551.0,85982.9999999997,176.0,266551.0,0.0,185.0,0.0,0.0,0.5452464409310993,0.6217284370555392,0.2360017977402076,8.647771346540788,7.805589398480002,0.8421819480607873,0.7022840207759818,127.0,0.4098935196810726,1.2114370999597668,386.0,control_interval_s,5.0,1,control_interval_s_5.0_r1,20665721,0.29750647300011224,563.0,,,127.0,0.09835762205504694
thunder,445.8490939107084,461.49490024295295,840.4126308891335,910.6089135167164,1206.4018483048276,190.98113976180156,30.78576185222791,332.30105366218714,26.713639794118972,92.66672176915492,0.7657852192372036,406.0,213.0,323219.0000000002,249906.0,93085.00000000035,149.0,249906.0,0.0,142.0,0.0,0.0,0.685731172683667,0.7157364551382704,0.5441718091366898,3.5815226632613584,3.292257425591182,0.2892652376701765,0.8161843160208243,289.0,0.3761734602105969,0.8300780000809027,386.0,control_interval_s,5.0,2,control_interval_s_5.0_r2,20665722,0.5477866159999394,619.0,,,,
