policy,mean_program_ct,p90_program_ct,makespan,throughput,mean_e2e10,mean_program_impr,p90_program_impr,makespan_impr,throughput_impr,recompute_service,recompute_impr,mean_active,mean_requests_per_program,preempt_events,preempted_request_ratio,deleted_from_memory_ratio,evictions,memory_violations,decision_wall_sec,mean_decision_ms,runtime_sec,composite
bayes_dual_price,6405.769224877451,13914.925000000003,19285.0,0.021156414418003356,6547.815661438447,47.526352820234635,40.79469003940942,30.270624620767478,43.60563346391396,172009.625,73.7244549046541,47.73860315482987,10.152979473039215,2090.0,0.11968115809096183,0.19411706072024013,529.75,0,2.087072231232014,0.5848582505246893,2.243065624497831,41.52950507516154
dual_descent_current,6865.404963235294,14807.150000000001,20381.75,0.020058335648717736,6891.021178606599,43.7514760023386,37.02378371297156,26.34955223367305,35.88851602552899,231619.25,64.0886993780521,48.21721271946346,10.152979473039215,670.5,0.1237464061522622,0.5298378664479033,769.75,0,0.37255461903259857,0.10367078890491888,0.5327562497477629,37.71907198783045
lp_dual_descent,7232.524576822917,15898.7,21946.6875,0.018896379781366227,7300.269925865718,40.785429380483876,32.48070158367377,20.710992944566733,26.47563833039412,282980.3125,56.67113479100504,47.82923603316155,10.152979473039215,34.25,0.008089710800760147,0.9629160115984214,880.0,0,0.9890945316583384,0.2779380851459598,1.1612868645024719,33.690638322302064
lp_selective,9450.610255821079,21317.412500000002,27369.25,0.018146528010120004,9522.580229100791,22.108115778816757,9.651169746564932,0.8272367444080198,12.387118781174006,186168.75,70.95339053985022,41.55190876899655,10.152979473039215,1.25,0.0002901484887500833,0.9981668868293487,646.0,0,1.062786729002255,0.30545799798381135,1.2295056977454806,13.673659512151616
current_density,9641.802941176471,21663.9,27750.125,0.014752179023611423,9666.551360514008,21.0010537630291,7.824723582707546,-0.3728020865908528,-0.14259609887879998,555554.4375,13.993297966011049,47.33871888515446,10.152979473039215,172.0,0.04499118935753418,0.8839338856469785,1443.0,0,0.35935580253135413,0.09573958102266109,0.552410447751754,12.363507255543723
bayes_grade,10019.816754748774,21767.850000000002,27756.625,0.014634106775748916,10061.288535722397,17.969678808282005,7.435744014680663,-0.3412274249157597,-0.20085794642061572,598012.5625,8.38295916418123,48.458953778106604,10.152979473039215,217.75,0.054751130202166196,0.8751900028930147,1700.5,0,0.5948869308049325,0.15883421994792096,0.7947537184954854,10.75846855158223
commit_many,12220.25463771446,23565.975,27716.6875,0.014756774825254133,12231.800055687561,0.0,0.0,0.0,0.0,651106.1875,0.0,50.75177315098483,10.152979473039215,1097.25,0.27052190576593443,0.6433810438030003,2037.5,0,0.16556886535545345,0.042076879539902384,0.37386377074290067,0.0
least_rounds,16524.043181295954,39850.787500000006,50485.625,0.00816138366020264,16553.824830044556,-35.186838804428064,-69.27432228941778,-82.09616698589025,-45.066797783855186,1355431.4375,-107.96468064076853,42.30843165615319,10.152979473039215,175.5,0.0444926900912027,0.9354967107065747,2843.5,0,0.4251806636384572,0.10509154149706473,0.6858245627518045,-55.436041721041036
mu_two_price,22284.519829963236,50924.5375,75101.375,0.005534467717882576,22569.862577263746,-82.18727690559633,-111.44313814201952,-171.552349534914,-61.63949272665062,63694.875,90.54243014638743,11.010778380940552,10.152979473039215,3255.5,0.0780603003238726,0.09690625562340029,364.75,0,4.2410504509171005,1.1456948409168035,4.432806364755379,-111.84251037203154
