memory_factor,policy,mean_program_impr,p90_program_impr,makespan_impr,throughput_impr,mean_active,mean_requests_per_program,preempt_events,deleted_from_memory_ratio
5,bayes_dual_price,45.10215968803701,40.02471575820033,27.63871371624794,38.19544280607117,18.92647676238216,9.91764705882353,1295.0,0.14295168762409
5,bayes_grade,15.91778440170102,9.36659521386114,-0.06812553510766596,-0.0680791558184679,20.04645022401722,9.91764705882353,149.0,0.8283410138248848
5,commit_many,0.0,0.0,0.0,0.0,20.877696252174953,9.91764705882353,536.0,0.6132756132756133
5,current_density,15.69166167126093,3.1402555795612526,-6.468243373871095,-6.075279509550446,19.019567830244966,9.91764705882353,123.0,0.8454773869346733
5,dual_descent_current,40.70775890328603,34.97110499330263,23.75832006112886,31.161852782071087,19.55670401854714,9.91764705882353,337.0,0.5044117647058823
5,least_rounds,-39.388497426065705,-64.00101148394,-87.07271940565073,-46.5448514793016,16.91340229523041,9.91764705882353,119.0,0.9090909090909091
5,lp_dual_descent,37.94285488872749,31.456304105397482,13.42533349290666,15.507230965546558,17.785038281582306,9.91764705882353,10.0,0.975
5,lp_selective,-31.58651422710692,-58.41362075277257,-65.11788479419644,-39.4372086799438,8.627015544503669,9.91764705882353,0.0,1.0
5,mu_two_price,-196.00616376059304,-179.60780662458498,-170.15825377682444,-62.9846585836281,4.44810089485916,9.91764705882353,2489.0,0.0525314046440807
10,bayes_dual_price,49.12422435614929,44.653955725894,34.43469533121803,52.51969087183033,37.358176341324906,10.546875,1684.0,0.20603488920320603
10,bayes_grade,19.005631543366455,11.389427514846165,4.511752897753027,4.724930066966193,38.01972535390353,10.546875,206.0,0.8722084367245657
10,commit_many,0.0,0.0,0.0,0.0,38.947848539791494,10.546875,975.0,0.6429879165140974
10,current_density,23.876304602359248,14.82134361429705,6.889043579615359,7.398746446671822,36.93432319421383,10.546875,164.0,0.8779761904761905
10,dual_descent_current,45.758296136104875,40.96539462486045,29.615359709900925,42.07645245871476,37.02366714200285,10.546875,547.0,0.5368331922099915
10,least_rounds,-36.43116952942187,-67.64652363541255,-82.57867642297481,-45.22909139272493,32.085682619200675,10.546875,164.0,0.9360124853687085
10,lp_dual_descent,41.5959652307979,33.97722038678714,24.566146474130672,32.566474236538845,36.74896452561324,10.546875,43.0,0.9450127877237852
10,lp_selective,37.16474270630534,31.37778940325297,22.359645146668395,28.79899916597164,32.14155546288574,10.546875,2.0,0.9963031423290203
10,mu_two_price,-93.76191987834015,-183.52657526768604,-157.43702648449135,-61.15554884797263,8.233596815575007,10.546875,2094.0,0.11458773784355179
15,bayes_dual_price,46.65444254118772,38.5950550015881,29.361504835077493,41.565869667135516,58.171468756278884,10.102083333333333,2410.0,0.21035386631716907
15,bayes_grade,15.91977714309833,1.4471747659244816,-6.071759741119921,-5.7242000660107095,57.77290527461353,10.102083333333333,242.0,0.8952834270878408
15,commit_many,0.0,0.0,0.0,0.0,61.77790814298961,10.102083333333333,1225.0,0.661134163208852
15,current_density,21.11894494702927,7.842032039152004,-0.9045663569441553,-0.8964573057519409,57.395172633671535,10.102083333333333,195.0,0.8974763406940063
15,dual_descent_current,43.30175373186825,35.74544039295155,26.13023484662112,35.37338286153453,58.94976303317536,10.102083333333333,778.0,0.5396449704142012
15,least_rounds,-33.841687536052454,-69.82003140391609,-78.39165073898151,-43.94356485533189,51.75570583711247,10.102083333333333,196.0,0.9448198198198198
15,lp_dual_descent,41.753868164103714,32.971875153776296,22.90180345551918,29.704720060872347,59.30098672099359,10.102083333333333,39.0,0.9639556377079482
15,lp_selective,39.43420955442689,31.587776629581413,20.27988569914653,25.438856776613306,51.91702372615812,10.102083333333333,2.0,0.9973684210526316
15,mu_two_price,-46.68619068052957,-107.07236768528087,-101.78547773593475,-50.44241978064231,17.950932903183453,10.102083333333333,3808.0,0.10631307204881484
20,bayes_dual_price,49.22458469556453,39.90503367195525,29.647584600526447,42.14153051061884,76.49829075933353,10.0453125,2971.0,0.21712779973649537
20,bayes_grade,21.035522144962208,7.539778564090864,0.2632226788115212,0.2639173691805219,77.99673425989215,10.0453125,274.0,0.9049271339347675
20,commit_many,0.0,0.0,0.0,0.0,81.40363966898327,10.0453125,1653.0,0.6561264822134387
20,current_density,23.317303831466948,5.495263097819877,-1.00744219516352,-0.9973940268846349,76.00581188248749,10.0453125,206.0,0.9148056244830438
20,dual_descent_current,45.23809523809525,36.41319484077159,25.8942943170413,34.942375999795594,77.33871668412849,10.0453125,1020.0,0.5384615384615384
20,least_rounds,-31.086000726172237,-75.62972263440247,-80.34162137595395,-44.54968340806232,68.4789358730692,10.0453125,223.0,0.9520636285468616
20,lp_dual_descent,41.84902923830641,31.51740668873416,21.95068835571042,28.124128058618723,77.48195460445706,10.0453125,45.0,0.9676956209619526
20,lp_selective,43.42002508164172,34.05273370619792,25.787300926013597,34.74782786205488,73.52204034243866,10.0453125,1.0,0.998995983935743
20,mu_two_price,7.705166697077435,24.43419700947381,-256.8286401424054,-71.97534369435945,13.410482910144589,10.0453125,4631.0,0.1141928079571538
