case,seed,total_requests,mean_rounds,mean_initial_prompt,mean_prompt_per_turn,mean_decode_per_turn,mean_total_prompt_per_program,mean_submitted_prompt_per_program,mean_total_decode_per_program,cv_total_decode_per_program,mean_tool_s_per_program,max_final_context,mean_program_ct,p50_program_ct,p90_program_ct,p95_program_ct,makespan,programs_per_hour,steps_per_min,completed_programs,completed_requests,mean_request_ct,mean_queue_s,p95_queue_s,cache_hit_prefix_ratio,warm_admits,cold_admits,prefill_tokens,cold_recompute_tokens,decode_tokens,aggregate_gen_tps,cache_evictions,evicted_prefix_tokens,emergency_evictions,reserve_expansions,active_preemptions,preempted_context_tokens,decode_stall_s,memory_violations,physical_kv_util,reserved_kv_util,idle_cache_fraction,mean_active,max_active,max_waiting,mean_engine_waiting,max_router_paused,mean_router_paused,mean_decode_batch,mean_prefill_batch,gpu_busy_fraction,decision_calls,mean_decision_ms,p95_decision_ms,decode_reserve,thunder_marked_for_pause,thunder_mean_decayed_cache_fraction,bdp_lambda_last,bdp_lambda_mean,bdp_lambda_max,bdp_updates,bdp_binding_fraction
bdp,20262110.5,1216.4,15.205000000000002,2809.36375,1423.210337260115,390.50925714672076,21634.058125,232762.34437500002,5929.74875,0.8611512856109707,13.352421446711556,42741.65,418.95709080316476,407.1016000158883,706.370914942823,769.0168903995545,894.9758623797661,326.91359585322334,82.80155711048154,80.0,1216.4,255.15669974791678,6.515628738398604,9.92565753684557,0.8429074130994871,1059.35,157.05,2930541.8500000006,1199817.2,474379.8999999988,532.4465940725165,0.0,0.0,0.0,3450.3,0.0,0.0,0.0,0.0,0.6183595510263761,0.6410551366583424,0.3534024512909696,27.46376974135263,75.95,20.8,0.10336533295939025,45.15,8.93833715149588,26.516981676635044,0.9467880647175629,0.9958946417972803,299.75,0.14738619211134368,0.37629088386893267,1024.0,,,0.0,5.112096465796404e-09,2.0702603835768262e-08,299.75,0.4853861527891895
fcfs,20262110.5,1216.4,15.205000000000002,2809.36375,1423.210337260115,390.50925714672076,21634.058125,232762.34437500002,5929.74875,0.8611512856109707,13.352421446711556,42741.65,517.2269572152971,561.2011858463763,765.9141573556255,819.2507902531046,925.683660064672,316.122840279947,80.08937146397157,80.0,1216.4,280.6194083293593,9.28071861924509,24.67099277721933,0.2703581190453612,457.4,759.0,13617556.055333883,11886867.844453584,474379.89999999554,514.8497876985155,0.0,0.0,0.0,8279.05,0.15,2937.2553339078668,0.0,0.0,0.6693729068267206,0.7257968246736384,0.30405278519521284,31.309307675838188,76.65,62.05,0.2434077091637466,33.2,12.32946228364215,27.688246831630227,3.6210608442079724,0.9960580414144269,309.95,0.007551190041332509,0.012368081370368598,1024.0,,,,,,,
hindsight_index,20262110.5,1216.4,15.205000000000002,2809.36375,1423.210337260115,390.50925714672076,21634.058125,232762.34437500002,5929.74875,0.8611512856109707,13.352421446711556,42741.65,382.82220103593284,328.3800154237368,707.0833168905859,779.310530210327,907.2929686885163,322.09048811160886,81.61026717297551,80.0,1216.4,232.0620719327873,4.749701737532853,6.6892278513112355,0.8560061712247824,1073.1,143.3,2681793.5499999984,951068.9,474379.9000000033,525.4074539134057,0.0,0.0,0.0,3224.95,0.0,0.0,0.0,0.0,0.5842441858220419,0.6059736582753095,0.3885497821716629,26.23933124422163,76.05,32.65,0.15267681871059016,38.25,6.432474669635989,25.338438717015944,0.9008925272056911,0.9948828222801245,304.25,0.17779370855712956,0.5604946133098564,1024.0,,,0.0,2.7884559530782985e-09,2.4387173985315898e-08,304.25,0.35826546456504615
latent_oracle,20262110.5,1216.4,15.205000000000002,2809.36375,1423.210337260115,390.50925714672076,21634.058125,232762.34437500002,5929.74875,0.8611512856109707,13.352421446711556,42741.65,405.9612850449305,391.2192168505717,717.7401937235685,764.4834052716416,893.7661557841791,327.26224414000274,82.93029624408075,80.0,1216.4,260.89475859221886,5.943844579069716,7.644570497744678,0.8634778032432294,1078.7,137.7,2544378.75,813654.1,474379.9000000026,533.4673706770651,0.0,0.0,0.0,3475.4,0.0,0.0,0.0,0.0,0.6140918257817768,0.6350131971592762,0.3581180339181143,27.09746963291866,76.35,28.35,0.1286944350595573,41.4,8.159998838532285,26.211328498890555,0.8861411340280944,0.9942613050636956,300.2,0.19895543532942808,0.5098126921802759,1024.0,,,0.0,3.2832351611958144e-09,1.8696283514050212e-08,300.2,0.4668687452334038
no_context_bdp,20262110.5,1216.4,15.205000000000002,2809.36375,1423.210337260115,390.50925714672076,21634.058125,232762.34437500002,5929.74875,0.8611512856109707,13.352421446711556,42741.65,425.2088743730127,413.4287570816538,711.6147905054684,769.9003550994909,892.8821521282441,327.7190381949623,83.0125457896296,80.0,1216.4,254.8890569289962,6.750234038064062,10.98273790957213,0.836626279692228,1061.9,154.5,3046824.85,1316100.2,474379.8999999998,533.9135166030087,0.0,0.0,0.0,3474.35,0.0,0.0,0.0,0.0,0.622905732363934,0.6466282192637315,0.34876550481537805,27.777189704185737,76.0,20.8,0.10366904522888212,45.15,9.262507032133929,26.807009150755288,0.9701805534304399,0.9958910762074973,299.25,0.15852219637458126,0.39499397564213723,1024.0,,,0.0,4.891763559924344e-09,1.963339513227653e-08,299.25,0.5154441230369244
program_mean_oracle,20262110.5,1216.4,15.205000000000002,2809.36375,1423.210337260115,390.50925714672076,21634.058125,232762.34437500002,5929.74875,0.8611512856109707,13.352421446711556,42741.65,382.8801952848469,327.2591237482444,703.8065342790269,777.0572108646398,910.1478081411353,321.0992536118139,81.34989876933068,80.0,1216.4,238.58584721684957,5.03723626495041,7.232743316841301,0.866271020816298,1079.45,136.95,2491760.65,761036.0,474379.8999999984,523.7892030922742,0.0,0.0,0.0,3228.8,0.0,0.0,0.0,0.0,0.5787247857232383,0.5992418399894693,0.3942553350049653,25.805656945759928,75.9,28.0,0.12414549559832799,42.35,6.79892927413032,24.943727391435207,0.8619295543247227,0.9952857516773911,305.3,0.1751983418414823,0.5427859953488223,1024.0,,,0.0,2.9926581783873105e-09,2.1737238834689488e-08,305.3,0.3633508705786738
thunder,20262110.5,1216.4,15.205000000000002,2809.36375,1423.210337260115,390.50925714672076,21634.058125,232762.34437500002,5929.74875,0.8611512856109707,13.352421446711556,42741.65,464.5098713691135,501.7412949007042,719.4113935029704,774.379832493956,892.1097406138,328.3524695718652,83.19991964041432,80.0,1216.4,257.9539607442561,5.577839620703505,12.124210462692371,0.7903804063947949,1021.85,194.55,3986509.9038569042,2273895.451899436,474379.89999999886,534.8802033737217,116.65,1717031.4,0.0,7344.85,21.25,356041.10385690513,0.0,0.0,0.7146942272556654,0.7425592420200523,0.25816003582991276,32.794380445811825,78.95,62.05,0.3228008948906227,21.8,7.66604387402924,31.727046379266795,1.0673340665450266,0.9958002900734064,297.85,0.023194883024576698,0.04164031823165715,1024.0,6.75,0.39849506648995103,,,,,
turns_oracle,20262110.5,1216.4,15.205000000000002,2809.36375,1423.210337260115,390.50925714672076,21634.058125,232762.34437500002,5929.74875,0.8611512856109707,13.352421446711556,42741.65,417.0231601665081,414.469942661631,716.4408192788968,765.2756348527993,884.7692002528263,331.09593529381976,83.88501260823048,80.0,1216.4,272.8714712624079,6.305518283678705,8.486316813130761,0.8565536481988886,1072.0,144.4,2673061.1499999994,942336.5,474379.89999999694,539.4407057763408,0.0,0.0,0.0,3551.9,0.0,0.0,0.0,0.0,0.6329352349654651,0.6546680006892382,0.338598371158059,27.887826490355515,76.2,30.8,0.1320353303070212,38.45,8.769373622667375,26.970358364722802,0.9174681256327073,0.9942244269399826,296.75,0.20134731968755565,0.4829499454353935,1024.0,,,0.0,4.609705988298399e-09,2.1528498041877368e-08,296.75,0.5109677569906464
