metric,comparison,mean_pct,ci_low,ci_high,positive_seeds,repetitions
mean_program_ct,bdp_vs_no_context_bdp,1.4389365747769574,0.9563602144059293,1.903875856659126,16,20
mean_program_ct,bdp_vs_fcfs,18.86592102840547,17.422231013158036,20.34427815509123,20,20
mean_program_ct,bdp_vs_thunder,9.582526546931716,7.995393655815429,11.247153133115,20,20
mean_program_ct,turns_oracle_vs_bdp,0.498107403099588,-0.5478828353893083,1.5066827914483598,10,20
mean_program_ct,latent_oracle_vs_bdp,3.1521325098230113,2.1163978249869735,4.21958505183021,18,20
mean_program_ct,program_mean_oracle_vs_bdp,8.581186221107897,7.433855914714869,9.679004741997858,20,20
mean_program_ct,hindsight_index_vs_bdp,8.58811538901274,7.565920850331709,9.592564863155772,20,20
p90_program_ct,bdp_vs_no_context_bdp,0.7626033620984731,0.26040612831232846,1.254565635157211,15,20
p90_program_ct,bdp_vs_fcfs,7.8176995216986,6.93149659393979,8.6837808392815,20,20
p90_program_ct,bdp_vs_thunder,1.7891580204372037,0.7997557567292856,2.6943292132052097,17,20
p90_program_ct,turns_oracle_vs_bdp,-1.4147047327674005,-2.2490174955807576,-0.5646307546323804,6,20
p90_program_ct,latent_oracle_vs_bdp,-1.631936100809573,-2.9290835868431695,-0.25490926071068093,4,20
p90_program_ct,program_mean_oracle_vs_bdp,0.30037693590922554,-0.965700650035714,1.5196318618891216,13,20
p90_program_ct,hindsight_index_vs_bdp,-0.20467445471447868,-1.644983857302516,1.2045795248370925,12,20
p95_program_ct,bdp_vs_no_context_bdp,0.1217873011836961,-0.42140735836588106,0.7137517255364536,10,20
p95_program_ct,bdp_vs_fcfs,6.055130376400594,4.729076564339348,7.310362202065815,20,20
p95_program_ct,bdp_vs_thunder,0.5715203456738741,-0.8878222287156282,1.8758343064268104,13,20
p95_program_ct,turns_oracle_vs_bdp,0.4424298708707218,-0.46967635023426024,1.4301602853625113,11,20
p95_program_ct,latent_oracle_vs_bdp,0.6459836906574572,-0.43793343419270453,1.7631109581603086,11,20
p95_program_ct,program_mean_oracle_vs_bdp,-1.0187283323252356,-2.330014053133615,0.22228791552464575,9,20
p95_program_ct,hindsight_index_vs_bdp,-1.3143323473624344,-2.4935204964013256,-0.17694080465286835,8,20
