seed,case,total_requests,mean_rounds,mean_initial_prompt,mean_prompt_per_turn,mean_decode_per_turn,mean_total_prompt_per_program,mean_submitted_prompt_per_program,mean_total_decode_per_program,cv_total_decode_per_program,mean_tool_s_per_program,max_final_context,policy,mean_program_ct,p50_program_ct,p90_program_ct,p95_program_ct,makespan,programs_per_hour,steps_per_min,completed_programs,completed_requests,mean_request_ct,mean_queue_s,p95_queue_s,cache_hit_prefix_ratio,warm_admits,cold_admits,prefill_tokens,cold_recompute_tokens,decode_tokens,aggregate_gen_tps,cache_evictions,evicted_prefix_tokens,emergency_evictions,reserve_expansions,active_preemptions,preempted_context_tokens,decode_stall_s,memory_violations,physical_kv_util,reserved_kv_util,idle_cache_fraction,mean_active,max_active,max_waiting,mean_engine_waiting,max_router_paused,mean_router_paused,mean_decode_batch,mean_prefill_batch,gpu_busy_fraction,decision_calls,mean_decision_ms,p95_decision_ms,decode_reserve,thunder_marked_for_pause,thunder_mean_decayed_cache_fraction,bdp_lambda_last,bdp_lambda_mean,bdp_lambda_max,bdp_updates,bdp_binding_fraction
20262101,fcfs,1247.0,15.5875,2850.0375,1373.9013632718525,433.14434643143545,21415.6875,235035.7,6751.6375,1.1123178117603374,13.778471398162225,58447.0,fcfs,551.0266393639727,593.5,820.7,870.6249999999999,1341.5,214.6850540439806,55.773387998509136,80.0,1247.0,289.83359248841765,9.657869770816376,25.277236015861863,0.282948398902805,490.0,757.0,13482617.999999978,11769363.0,540130.9999999913,402.6321282146786,0.0,0.0,0.0,8958.0,0.0,0.0,0,0.0,0.4961384698993072,0.5329510380618285,0.4833131481635106,22.90780300893742,77.0,61.0,0.15331501794052985,33.0,8.977535299446906,20.546015671308936,2.361787337628529,1.0,448.0,0.005641906942141109,0.011499971151351929,1024.0,,,,,,,
20262101,thunder,1247.0,15.5875,2850.0375,1373.9013632718525,433.14434643143545,21415.6875,235035.7,6751.6375,1.1123178117603374,13.778471398162225,58447.0,thunder,499.41969082354007,544.5,763.8000000000001,828.425,1322.5,217.76937618147448,56.57466918714556,80.0,1247.0,267.25655327842225,5.690892847370776,11.250748456452229,0.7933804311430136,1059.0,188.0,3976758.1622884567,2285836.105144074,540131.0000000173,408.41663516069366,113.0,1817109.0,0.0,7990.0,27.0,393048.16228845174,0,0.0,0.5242808123954981,0.5423157020772854,0.4551651893606442,23.813313215998143,79.0,61.0,0.19784305875335462,20.0,5.366006336991572,23.102470343600203,0.7108428723979054,0.9975676312382179,441.0,0.017643426259865567,0.03979098983108997,1024.0,6.0,0.27397315097455704,,,,,
20262101,no_context_bdp,1247.0,15.5875,2850.0375,1373.9013632718525,433.14434643143545,21415.6875,235035.7,6751.6375,1.1123178117603374,13.778471398162225,58447.0,bdp,470.16864104561546,435.49569951801504,740.8000000000002,843.5749999999999,1301.0,221.36817832436586,57.509607993850885,80.0,1247.0,271.133436374604,7.699132648488417,15.876700972213197,0.8119344742096626,1065.0,182.0,3536168.9999999916,1822914.0,540130.999999994,415.1660261337386,0.0,0.0,0.0,3950.0,0.0,0.0,0,0.0,0.46228193587482536,0.48040796918620576,0.5159970918505986,20.62257630219279,77.0,20.0,0.06181659491033783,39.0,7.379568341787111,19.898440433127135,0.7241358690656645,1.0,434.0,0.12524848458387197,0.4263420705683528,1024.0,,,0.0,3.6788842939860154e-09,2.5295785187560333e-08,434.0,0.3640552995391705
20262101,bdp,1247.0,15.5875,2850.0375,1373.9013632718525,433.14434643143545,21415.6875,235035.7,6751.6375,1.1123178117603374,13.778471398162225,58447.0,bdp,457.6917423254223,414.20693702582514,733.3000000000003,838.0191929386697,1291.5,222.9965156794425,57.93263646922183,80.0,1247.0,269.64718385456905,7.307155900187042,9.03371244576668,0.8434900527877255,1091.0,156.0,2942834.0000000107,1229579.0,540130.9999999813,418.219899341836,0.0,0.0,0.0,3891.0,0.0,0.0,0,0.0,0.45803860825422255,0.4742701784309453,0.520160549487168,20.379879889019943,77.0,20.0,0.06227130466771159,39.0,7.055380106491081,19.72159537429681,0.6582845147231055,1.0,431.0,0.11267171191643673,0.38829201366752386,1024.0,,,0.0,3.3140366718250463e-09,2.322857220080995e-08,431.0,0.2900232018561485
20262101,turns_oracle,1247.0,15.5875,2850.0375,1373.9013632718525,433.14434643143545,21415.6875,235035.7,6751.6375,1.1123178117603374,13.778471398162225,58447.0,bdp,452.3332858939308,411.04171551378624,760.9809290870872,829.0999999999999,1296.2168076874568,222.18505291087263,57.72182520413712,80.0,1247.0,283.93295957605164,6.2306352232140885,8.922579532207338,0.8440118884067399,1092.0,155.0,2933021.999999996,1219767.0,540130.9999999963,416.69803754792264,0.0,0.0,0.0,4162.0,0.0,0.0,0,0.0,0.48035446787386893,0.49639911280857973,0.4982537735556757,20.988503078117066,78.0,31.0,0.08419315164794777,35.0,5.994060621085066,20.343287972612853,0.6452151055041933,0.9975183104644385,434.0,0.1413916972088134,0.45604782062582666,1024.0,,,0.0,3.469632836268862e-09,2.1066206189827943e-08,434.0,0.3847926267281106
20262101,latent_oracle,1247.0,15.5875,2850.0375,1373.9013632718525,433.14434643143545,21415.6875,235035.7,6751.6375,1.1123178117603374,13.778471398162225,58447.0,bdp,436.71551969847894,393.3279913419316,792.4630721397136,843.25,1295.2319895476237,222.35398934254832,57.765713481282866,80.0,1247.0,270.37661035694697,6.353041691444438,6.87848949934568,0.8640404415159059,1106.0,141.0,2556427.999999998,843173.0,540130.9999999941,417.0148701999259,0.0,0.0,0.0,3924.0,0.0,0.0,0,0.0,0.45867801097044325,0.47348188205442476,0.5202488287630562,19.919712030500346,77.0,27.0,0.08652707099411372,39.0,6.116466434710403,19.30697192020873,0.6127401102916029,1.0,433.0,0.14945370355926402,0.5265498068183658,1024.0,,,0.0,2.0214950299414084e-09,1.734573752910588e-08,433.0,0.2909930715935335
20262101,program_mean_oracle,1247.0,15.5875,2850.0375,1373.9013632718525,433.14434643143545,21415.6875,235035.7,6751.6375,1.1123178117603374,13.778471398162225,58447.0,bdp,404.41553190859554,334.49589792926736,768.9564083021729,858.7249999999999,1349.2168076874568,213.4571688990659,55.4543936702365,80.0,1247.0,244.66029445400704,5.712265606824927,7.088635379841543,0.8687665320630015,1107.0,140.0,2467563.9999999944,754309.0,540130.9999999905,400.32928505076154,0.0,0.0,0.0,3498.0,0.0,0.0,0,0.0,0.40527479656989884,0.4189727797400693,0.5745475546596029,17.80611652885844,78.0,27.0,0.07667998809179015,40.0,5.279503761830372,17.22996961960391,0.5761469092545074,0.9976157963129956,452.0,0.13071386528868986,0.5552096874453127,1024.0,,,0.0,1.8192395158079435e-09,2.1849685842536724e-08,452.0,0.2234513274336283
20262101,hindsight_index,1247.0,15.5875,2850.0375,1373.9013632718525,433.14434643143545,21415.6875,235035.7,6751.6375,1.1123178117603374,13.778471398162225,58447.0,bdp,405.9977579774087,330.3036142814167,770.9075960458306,873.425,1344.2168076874568,214.2511523088787,55.66066394357744,80.0,1247.0,239.21652385892452,5.341744369914724,7.2715957322053555,0.8633563433129521,1104.0,143.0,2569291.000000001,856036.0,540131.0000000107,401.81836509635156,0.0,0.0,0.0,3513.0,0.0,0.0,0,0.0,0.41354252970342675,0.42793500458914185,0.5661608698402794,18.28415271916451,78.0,34.0,0.10305056211068885,34.0,4.95541730410534,17.69629750587552,0.587855213288981,0.9976069279382164,450.0,0.13359810329145855,0.5874499620404093,1024.0,,,0.0,1.6706406117764659e-09,1.8347292967510952e-08,450.0,0.21777777777777776
20262102,fcfs,1280.0,16.0,2794.2875,1422.5671875,341.98359375,22761.075,235351.95,5471.7375,0.8038588983432483,13.707470646209464,47196.0,fcfs,479.2811959233728,529.0136315435996,722.5500000000001,778.125,811.0,355.11713933415535,94.69790382244143,80.0,1280.0,246.74468809344907,8.033357236373678,20.463028645847764,0.2657454081005065,503.0,777.0,13824660.000000047,12003774.0,437739.00000000914,539.752157829851,0.0,0.0,0.0,7549.0,0.0,0.0,0,0.0,0.7214897248629207,0.78564834698339,0.2506842193774555,32.975756635682686,74.0,63.0,0.27110003461912036,30.0,12.6790348490238,28.839013113076383,4.136743522606336,1.0,271.0,0.007870659916025907,0.012603995855897665,1024.0,,,,,,,
20262102,thunder,1280.0,16.0,2794.2875,1422.5671875,341.98359375,22761.075,235351.95,5471.7375,0.8038588983432483,13.707470646209464,47196.0,thunder,448.2696277575139,504.3864258759781,679.75718737093,744.5921658711266,794.0,362.72040302267004,96.72544080604534,80.0,1280.0,229.32820087364877,5.753915559782438,5.699561350399598,0.7771603868164254,1087.0,193.0,4272969.006954654,2468676.047940286,437738.99999999633,551.3085642317334,134.0,1985367.0,0.0,6621.0,19.0,323947.00695465296,0,0.0,0.7538611324980525,0.7846903625918676,0.2182346587546775,34.13668504610183,79.0,63.0,0.37208151861206157,24.0,9.275833648011995,32.927057584684455,1.209627461417354,1.0,265.0,0.025193436721445254,0.04361656028777358,1024.0,6.0,0.42055891172565285,,,,,
